iter	Passed	Remaining
696	1570	682
697	1573	680
698	1574	678
699	1576	675
700	1578	673
701	1580	671
702	1583	669
703	1586	667
704	1588	664
705	1590	662
706	1593	660
707	1595	658
708	1597	655
709	1598	653
710	1600	650
711	1603	648
712	1606	646
713	1610	645
714	1612	642
715	1614	640
716	1617	638
717	1619	636
718	1622	634
719	1625	632
720	1627	629
721	1629	627
722	1632	625
723	1634	622
724	1635	620
725	1637	618
726	1641	616
727	1644	614
728	1647	612
729	1651	610
730	1654	608
731	1658	607
732	1660	604
733	1663	602
734	1665	600
735	1667	598
736	1670	596
737	1672	593
738	1674	591
739	1676	589
740	1678	586
741	1680	584
742	1683	582
743	1686	580
744	1689	578
745	1692	576
746	1695	574
747	1699	572
748	1702	570
749	1706	568
750	1710	567
751	1714	565
752	1717	563
753	1720	561
754	1723	559
755	1725	556
756	1727	554
757	1730	552
758	1732	550
759	1734	547
760	1736	545
761	1738	542
762	1739	540
763	1741	537
764	1744	535
765	1745	533
766	1747	530
767	1749	528
768	1752	526
769	1753	523
770	1755	521
771	1757	519
772	1760	516
773	1761	514
774	1763	511
775	1765	509
776	1767	507
777	1769	504
778	1771	502
779	1773	500
780	1775	497
781	1777	495
782	1779	493
783	1781	490
784	1784	488
785	1787	486
786	1790	484
787	1793	482
788	1796	480
789	1798	478
790	1800	475
791	1803	473
792	1805	471
793	1806	468
794	1808	466
795	1810	464
796	1812	461
797	1814	459
798	1816	456
799	1818	454
800	1820	452
801	1822	449
802	1824	447
803	1827	445
804	1828	442
805	1830	440
806	1832	438
807	1834	435
808	1836	433
809	1838	431
810	1840	428
811	1842	426
812	1844	424
813	1846	421
814	1849	419
815	1850	417
816	1852	414
817	1854	412
818	1857	410
819	1859	408
820	1861	405
821	1864	403
822	1865	401
823	1868	399
824	1873	397
825	1875	395
826	1878	392
827	1881	390
828	1884	388
829	1888	386
830	1890	384
831	1893	382
832	1896	380
833	1899	378
834	1904	376
835	1907	374
836	1911	372
837	1913	369
838	1915	367
839	1918	365
840	1920	363
841	1922	360
842	1925	358
843	1927	356
844	1929	353
845	1931	351
846	1933	349
847	1935	346
848	1937	344
849	1940	342
850	1941	339
851	1943	337
852	1945	335
853	1947	332
854	1949	330
855	1951	328
856	1953	325
857	1955	323
858	1957	321
859	1958	318
860	1960	316
861	1962	314
862	1964	311
863	1966	309
864	1969	307
865	1971	304
866	1972	302
867	1974	300
868	1977	298
869	1979	295
870	1981	293
871	1985	291
872	1987	289
873	1990	287
874	1994	284
875	1998	282
876	2002	280
877	2005	278
878	2009	276
879	2011	274
880	2015	272
881	2017	269
882	2019	267
883	2021	265
884	2023	262
885	2025	260
886	2027	258
887	2030	256
888	2032	253
889	2033	251
890	2036	249
891	2038	246
892	2039	244
893	2041	242
894	2044	239
895	2046	237
896	2048	235
897	2049	232
898	2052	230
899	2054	228
900	2056	225
901	2059	223
902	2061	221
903	2062	219
904	2065	216
905	2068	214
906	2069	212
907	2071	209
908	2074	207
909	2076	205
910	2078	203
911	2080	200
912	2083	198
913	2084	196
914	2087	193
915	2090	191
916	2095	189
917	2101	187
918	2104	185
919	2110	183
920	2113	181
921	2115	178
922	2117	176
923	2121	174
924	2127	172
925	2131	170
926	2138	168
927	2140	166
928	2143	163
929	2145	161
930	2147	159
931	2150	156
932	2152	154
933	2154	152
934	2157	149
935	2159	147
936	2164	145
937	2166	143
938	2168	140
939	2171	138
940	2174	136
941	2183	134
942	2188	132
943	2193	130
944	2200	128
945	2205	125
946	2208	123
947	2211	121
948	2213	118
949	2217	116
950	2220	114
951	2224	112
952	2230	109
953	2236	107
954	2241	105
955	2247	103
956	2253	101
957	2269	99
958	2277	97
959	2281	95
960	2284	92
961	2286	90
962	2289	87
963	2293	85
964	2298	83
965	2302	81
966	2307	78
967	2316	76
968	2320	74
969	2325	71
970	2333	69
971	2350	67
972	2357	65
973	2361	63
974	2367	60
975	2375	58
976	2380	56
977	2382	53
978	2392	51
979	2402	49
980	2407	46
981	2411	44
982	2414	41
983	2423	39
984	2431	37
985	2437	34
986	2441	32
987	2445	29
988	2459	27
989	2466	24
990	2471	22
991	2477	19
992	2480	17
993	2486	15
994	2488	12
995	2492	10
996	2496	7
997	2499	5
998	2504	2
999	2508	0
